
	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 18 coge maleta (Pasajero 18-1)	[18.0267086]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[18.1059593]
[-] Pasajero 32 coge maleta (Pasajero 32-2)	[18.5735488]
[-] Pasajero 24 coge maleta (Pasajero 24-2)	[18.7342297]
[-] Pasajero 14 coge maleta (Pasajero 14-2)	[19.7821153]
[-] Pasajero 17 coge maleta (Pasajero 17-2)	[19.8961852]
[-] Pasajero 13 coge maleta (Pasajero 13-2)	[20.9796585]
[-] Pasajero 30 coge maleta (Pasajero 30-2)	[21.0276866]
[-] Pasajero 3 coge maleta (Pasajero 3-2)	[21.911381]
[-] Pasajero 23 coge maleta (Pasajero 23-2)	[21.9659576]
[-] Pasajero 1 coge maleta (Pasajero 1-2)	[22.8690589]
[-] Pasajero 29 coge maleta (Pasajero 29-2)	[23.0207776]
[-] Pasajero 31 coge maleta (Pasajero 31-2)	[22.7139621]
[-] Pasajero 27 coge maleta (Pasajero 27-2)	[23.2828433]
[-] Pasajero 34 coge maleta (Pasajero 34-2)	[23.1187363]
[-] Pasajero 19 coge maleta (Pasajero 19-2)	[22.8777897]
[-] Pasajero 10 coge maleta (Pasajero 10-2)	[22.9906357]
[-] Pasajero 20 coge maleta (Pasajero 20-2)	[23.0386901]
[-] Pasajero 5 coge maleta (Pasajero 5-2)	[22.8551385]
[-] Pasajero 36 coge maleta (Pasajero 36-2)	[23.2462394]
[-] Pasajero 0 coge maleta (Pasajero 0-2)	[22.8827748]
[-] Pasajero 6 coge maleta (Pasajero 6-2)	[23.1271573]
[-] Pasajero 33 coge maleta (Pasajero 33-2)	[22.6619297]
[-] Pasajero 9 coge maleta (Pasajero 9-2)	[23.1503661]
[-] Pasajero 7 coge maleta (Pasajero 7-2)	[22.8629038]
[-] Pasajero 2 coge maleta (Pasajero 2-2)	[23.4309]
[-] Pasajero 15 coge maleta (Pasajero 15-2)	[22.8223869]
[-] Pasajero 28 coge maleta (Pasajero 28-2)	[23.1274041]
[-] Pasajero 38 coge maleta (Pasajero 38-2)	[22.722237]
[-] Pasajero 4 coge maleta (Pasajero 4-2)	[23.1234201]
[-] Pasajero 11 coge maleta (Pasajero 11-2)	[22.5821457]
[-] Pasajero 12 coge maleta (Pasajero 12-2)	[23.194819]
[-] Pasajero 25 coge maleta (Pasajero 25-2)	[22.5830456]
[-] Pasajero 39 coge maleta (Pasajero 39-2)	[23.1618252]
[-] Pasajero 8 coge maleta (Pasajero 8-2)	[22.6481461]
[-] Pasajero 22 coge maleta (Pasajero 22-2)	[22.9631772]
[-] Pasajero 21 coge maleta (Pasajero 21-2)	[22.6987125]
[-] Pasajero 26 coge maleta (Pasajero 26-2)	[22.5848777]
[-] Pasajero 37 coge maleta (Pasajero 37-2)	[22.5441755]
[-] Pasajero 35 coge maleta (Pasajero 35-2)	[22.8181948]
[-] Pasajero 18 coge maleta (Pasajero 18-2)	[22.4365564]
[-] Pasajero 16 coge maleta (Pasajero 16-2)	[22.5027828]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 22 coge maleta (Pasajero 22-1)	[0.5081696]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[0.5303146]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[0.5759155]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[0.5887449]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[0.603778]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[0.6314028]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[0.6609438]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[0.6734742]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[0.6924403]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[0.709531]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[1.8079709]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[1.966709]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[2.9559157]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[3.3449045]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[3.9295001]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[4.7039268]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[4.947469]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[6.104692]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[6.1277337]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[7.1366758]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[7.2854739]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 14 coge maleta (Pasajero 14-1)	[0.6022057]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.6686348]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[0.6871965]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[0.7034959]
[-] Pasajero 15 coge maleta (Pasajero 15-1)	[0.7225359]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[0.7503554]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[0.7748538]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[0.7868024]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[0.8034939]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[0.8144563]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[1.7840308]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[1.8607047]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[2.8375881]
[-] Pasajero 7 coge maleta (Pasajero 7-1)	[2.9869297]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[3.8863795]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[4.1837361]
[-] Pasajero 23 coge maleta (Pasajero 23-1)	[5.0838191]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[5.2174559]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[6.1204566]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 8 coge maleta (Pasajero 8-1)	[0.5304395]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.5722746]
[-] Pasajero 9 coge maleta (Pasajero 9-1)	[0.5958819]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[0.6174441]
[-] Pasajero 35 coge maleta (Pasajero 35-1)	[0.6441262]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[0.664151]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[0.6885639]
[-] Pasajero 6 coge maleta (Pasajero 6-1)	[0.7065319]
[-] Pasajero 17 coge maleta (Pasajero 17-1)	[0.7189053]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[0.7287533]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[1.7684723]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[1.8081446]
[-] Pasajero 3 coge maleta (Pasajero 3-1)	[2.7239905]
[-] Pasajero 29 coge maleta (Pasajero 29-1)	[2.8839686]
[-] Pasajero 21 coge maleta (Pasajero 21-1)	[3.8225555]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[3.9928872]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[4.8917334]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[5.0687623]
[-] Pasajero 38 coge maleta (Pasajero 38-1)	[6.0986013]
[-] Pasajero 5 coge maleta (Pasajero 5-1)	[6.1347098]
[-] Pasajero 0 coge maleta (Pasajero 0-1)	[7.4148423]
[-] Pasajero 11 coge maleta (Pasajero 11-1)	[7.4952483]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[8.6182313]
[-] Pasajero 33 coge maleta (Pasajero 33-1)	[8.764622]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[9.6370536]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[9.8807974]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[10.7208078]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[10.9906038]
[-] Pasajero 4 coge maleta (Pasajero 4-1)	[11.733246]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[12.0515377]
[-] Pasajero 16 coge maleta (Pasajero 16-1)	[13.0282377]
[-] Pasajero 39 coge maleta (Pasajero 39-1)	[13.3630017]
[-] Pasajero 19 coge maleta (Pasajero 19-1)	[14.3670043]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[14.6959758]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[15.6370733]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[15.7934978]

	========== PASAJEROS ========== 	  Tiempos

[-] Pasajero 15 coge maleta (Pasajero 15-1)	[0.5503202]
[-] Pasajero 28 coge maleta (Pasajero 28-1)	[0.5929922]
[-] Pasajero 37 coge maleta (Pasajero 37-1)	[0.6126101]
[-] Pasajero 13 coge maleta (Pasajero 13-1)	[0.628442]
[-] Pasajero 22 coge maleta (Pasajero 22-1)	[0.6470873]
[-] Pasajero 20 coge maleta (Pasajero 20-1)	[0.6727091]
[-] Pasajero 26 coge maleta (Pasajero 26-1)	[0.687443]
[-] Pasajero 27 coge maleta (Pasajero 27-1)	[0.7017983]
[-] Pasajero 30 coge maleta (Pasajero 30-1)	[0.7171734]
[-] Pasajero 1 coge maleta (Pasajero 1-1)	[0.7447489]
[-] Pasajero 10 coge maleta (Pasajero 10-1)	[1.81071]
[-] Pasajero 14 coge maleta (Pasajero 14-1)	[1.9789445]
[-] Pasajero 34 coge maleta (Pasajero 34-1)	[2.9539211]
[-] Pasajero 18 coge maleta (Pasajero 18-1)	[3.2946822]
[-] Pasajero 32 coge maleta (Pasajero 32-1)	[3.9395507]
[-] Pasajero 24 coge maleta (Pasajero 24-1)	[4.4076846]
[-] Pasajero 17 coge maleta (Pasajero 17-1)	[5.2330647]
[-] Pasajero 25 coge maleta (Pasajero 25-1)	[5.2921971]
[-] Pasajero 36 coge maleta (Pasajero 36-1)	[6.4428718]
[-] Pasajero 2 coge maleta (Pasajero 2-1)	[6.6410746]
[-] Pasajero 12 coge maleta (Pasajero 12-1)	[7.4529255]
[-] Pasajero 31 coge maleta (Pasajero 31-1)	[7.6564256]
